year,month,year_month,customer_state,customer_region,product_category_name_english,payment_type,delivery_status,total_orders,total_customers,total_items_sold,total_revenue,total_freight,total_payment_value,average_item_price,average_payment_value,average_delivery_days,late_orders,late_delivery_rate
2017,5,2017-05,MG,Southeast,auto,credit_card,On Time,9,9,10,1768.6000000000001,226.83999999999997,2359.2000000000007,176.86,235.92000000000007,10.4,0,0.0
2017,12,2017-12,GO,Central-West,fashion_bags_accessories,boleto,On Time,1,1,1,29.99,15.1,45.09,29.99,45.09,20.0,0,0.0
2017,8,2017-08,SP,Southeast,health_beauty,credit_card,On Time,93,89,97,8567.34999999999,1252.3999999999996,10276.140000000003,88.32319587628855,105.93958762886601,6.463917525773196,0,0.0
2018,2,2018-02,PE,Northeast,telephony,voucher,On Time,2,2,2,55.8,43.26,99.06,27.9,49.53,21.0,0,0.0
2017,3,2017-03,MG,Southeast,health_beauty,credit_card,On Time,23,23,29,2032.7300000000002,475.01,3565.7000000000007,70.0941379310345,122.95517241379312,8.413793103448276,0,0.0
2018,3,2018-03,SP,Southeast,baby,credit_card,Late,7,7,7,692.63,115.37,808.0,98.94714285714285,115.42857142857143,26.285714285714285,7,1.0
2018,7,2018-07,PR,South,baby,credit_card,On Time,8,8,8,855.66,173.7,1177.48,106.9575,147.185,7.125,0,0.0
2017,12,2017-12,PR,South,sports_leisure,credit_card,On Time,16,15,16,3608.3500000000004,366.93999999999994,3975.29,225.52187500000002,248.455625,14.875,0,0.0
2017,11,2017-11,SP,Southeast,null,credit_card,Late,5,5,5,99.15,65.27000000000001,164.42000000000002,19.830000000000002,32.884,26.0,5,1.0
2017,10,2017-10,RJ,Southeast,bed_bath_table,boleto,Late,2,2,2,230.03,39.36,269.39,115.015,134.695,24.0,2,1.0
2018,5,2018-05,SP,Southeast,luggage_accessories,boleto,On Time,5,5,5,599.25,183.98000000000002,783.23,119.85,156.64600000000002,9.4,0,0.0
2018,4,2018-04,BA,Northeast,computers_accessories,credit_card,On Time,9,9,9,1013.0,191.25000000000003,1204.25,112.55555555555556,133.80555555555554,14.444444444444445,0,0.0
2017,3,2017-03,SP,Southeast,perfumery,credit_card,On Time,31,31,31,7077.219999999998,444.43999999999994,7521.660000000002,228.29741935483867,242.63419354838715,8.064516129032258,0,0.0
2017,12,2017-12,RS,South,watches_gifts,credit_card,On Time,10,10,10,1382.45,156.73,1539.1799999999998,138.245,153.91799999999998,16.3,0,0.0
2018,6,2018-06,SC,South,baby,credit_card,On Time,7,7,7,552.49,164.6,717.09,78.92714285714285,102.44142857142857,8.857142857142858,0,0.0
2018,2,2018-02,MG,Southeast,furniture_decor,boleto,On Time,7,7,9,792.8899999999999,172.45999999999998,1292.4099999999999,88.09888888888888,143.6011111111111,14.0,0,0.0
2017,3,2017-03,BA,Northeast,fixed_telephony,credit_card,On Time,1,1,4,559.96,85.72,2582.72,139.99,645.68,19.0,0,0.0
2018,3,2018-03,SP,Southeast,books_general_interest,credit_card,On Time,9,9,10,508.74,131.09,696.88,50.874,69.688,9.0,0,0.0
2018,3,2018-03,PA,North,fashion_bags_accessories,credit_card,Late,2,2,2,98.0,56.08,154.07999999999998,49.0,77.03999999999999,48.0,2,1.0
2018,6,2018-06,ES,Southeast,health_beauty,boleto,On Time,3,3,3,282.0,53.28,335.28,94.0,111.75999999999999,13.0,0,0.0
2017,2,2017-02,DF,Central-West,toys,boleto,On Time,1,1,1,128.9,25.64,154.54,128.9,154.54,12.0,0,0.0
2017,5,2017-05,MG,Southeast,computers_accessories,credit_card,On Time,26,26,27,2658.7300000000005,426.9,3435.33,98.4714814814815,127.23444444444443,8.407407407407407,0,0.0
2018,1,2018-01,MS,Central-West,telephony,credit_card,On Time,1,1,1,49.0,15.1,64.1,49.0,64.1,8.0,0,0.0
2017,4,2017-04,GO,Central-West,baby,credit_card,On Time,3,3,3,197.9,53.67,251.57000000000002,65.96666666666667,83.85666666666667,16.0,0,0.0
2017,3,2017-03,SP,Southeast,consoles_games,credit_card,On Time,12,12,13,3026.98,182.83,3291.83,232.8446153846154,253.2176923076923,11.23076923076923,0,0.0
2018,4,2018-04,RJ,Southeast,pet_shop,credit_card,On Time,17,17,17,1798.5500000000004,271.28,2069.83,105.79705882352944,121.75470588235294,11.588235294117647,0,0.0
2018,8,2018-08,SP,Southeast,null,voucher,Not Delivered,26,24,0,null,null,4882.050000000001,null,187.77115384615388,null,0,0.0
2017,7,2017-07,MG,Southeast,sports_leisure,boleto,On Time,10,10,14,1115.9899999999998,247.04999999999998,2670.88,79.71357142857141,190.77714285714288,11.642857142857142,0,0.0
2018,4,2018-04,SP,Southeast,food_drink,boleto,On Time,1,1,1,17.49,11.86,29.35,17.49,29.35,9.0,0,0.0
2018,7,2018-07,GO,Central-West,watches_gifts,boleto,On Time,1,1,1,138.0,19.07,157.07,138.0,157.07,13.0,0,0.0
2017,4,2017-04,RJ,Southeast,watches_gifts,boleto,On Time,3,3,3,232.9,43.32,276.22,77.63333333333334,92.07333333333334,15.666666666666666,0,0.0
2018,2,2018-02,SP,Southeast,health_beauty,voucher,Not Delivered,1,1,1,40.5,13.08,53.58,40.5,53.58,null,0,0.0
2017,8,2017-08,RJ,Southeast,fashion_bags_accessories,credit_card,On Time,5,4,6,688.9,90.33,1151.1100000000001,114.81666666666666,191.8516666666667,7.333333333333333,0,0.0
2017,9,2017-09,RJ,Southeast,garden_tools,boleto,On Time,5,5,6,509.5,102.10000000000001,766.74,84.91666666666667,127.79,17.833333333333332,0,0.0
2018,2,2018-02,BA,Northeast,books_technical,credit_card,On Time,2,2,2,129.8,35.06,164.86,64.9,82.43,10.5,0,0.0
2017,8,2017-08,ES,Southeast,cool_stuff,voucher,On Time,1,1,1,99.0,19.23,118.22999999999999,99.0,118.22999999999999,21.0,0,0.0
2018,4,2018-04,RN,Northeast,electronics,credit_card,On Time,1,1,1,13.65,22.85,36.5,13.65,36.5,23.0,0,0.0
2017,5,2017-05,PR,South,toys,boleto,On Time,2,2,2,224.89000000000001,31.88,256.77,112.44500000000001,128.385,12.5,0,0.0
2018,4,2018-04,PA,North,sports_leisure,credit_card,On Time,8,7,13,1882.7999999999997,416.00000000000006,4667.279999999999,144.83076923076922,359.0215384615384,22.0,0,0.0
2018,2,2018-02,RS,South,bed_bath_table,boleto,Late,6,6,6,420.6700000000001,100.49,521.16,70.11166666666668,86.86,34.333333333333336,6,1.0
2017,12,2017-12,PA,North,stationery,credit_card,On Time,2,2,2,73.32,44.83,118.15,36.66,59.075,20.0,0,0.0
2018,8,2018-08,RJ,Southeast,home_construction,credit_card,On Time,3,3,4,279.65,80.14999999999999,476.4599999999999,69.9125,119.11499999999998,15.25,0,0.0
2017,6,2017-06,GO,Central-West,perfumery,credit_card,On Time,2,2,2,424.69999999999993,33.489999999999995,458.18999999999994,212.34999999999997,229.09499999999997,16.0,0,0.0
2017,4,2017-04,RJ,Southeast,consoles_games,credit_card,On Time,2,2,2,975.79,40.510000000000005,1016.3,487.895,508.15,15.0,0,0.0
2018,8,2018-08,AC,North,health_beauty,credit_card,On Time,2,2,2,225.99,89.14,315.13,112.995,157.565,17.0,0,0.0
2018,4,2018-04,PR,South,computers_accessories,voucher,On Time,1,1,1,47.99,18.23,66.22,47.99,66.22,7.0,0,0.0
